X,Y,OBJECTID,CONTACT,ROOM,ZIP,PHONE,FAX,NAME,ADDRESS,WEB_URL,GIS_ID,TYPE,ADDRESS_ID
-76.9428875886278,38.8924912860884,1,Cmdr  Robin Hoey, ,20019,(202) 698-0880,(202) 398-5397,District 6 (6D),100 42ND STREET NE,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_1,Station,294469
-76.9687109642132,38.8723715422552,2,Insp  Alton Bigelow, ,20019,(202) 698-2088,(202) 584-5397,District 6 Substation (6D-1),2701 PENNSYLVANIA AVENUE SE,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_2,Substation,45427
-77.0379731038701,38.9178750629361,3,Cmdr  Larry McCoy, ,20009,(202) 673-6815,(202) 518-0008,District 3 (3D),1620 V STREET NW,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_3,Station,241847
-77.025636486243,38.932679088944,4,Insp  Diane Groomes, ,20010,(202) 576-8222,(202) 576-3350,District 4 Substation,750 PARK ROAD NW,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_4,Substation,233054
-77.0165626212118,38.922189194083,5,Off Myra Jordan, ,20009,(202) 671-3550, ,Deaf and Hard Hearing Liaison Unit,310 MCMILLAN DRIVE NW,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_5,,299642
-76.9736423276014,38.9150850473364,6,Cmdr  Jennifer Gree, ,20002,(202) 698-0150,(202) 727-8727 ,District 5 (5D),1805 BLADENSBURG ROAD NE,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_6,Station,286486
-76.9992429762178,38.883375432073,7,Insp  Andrew Solberg, ,20003,(202) 698-0068,(202) 543-2352,District 1 Substation (1D-1) ,500 E STREET SE,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_7,Substation,289645
-77.0428671820356,38.9221671897141,8,Sgt  Juan Espinal, ,20009,(202) 673-4445, ,Latino Liaison Unit,1800 COLUMBIA ROAD NW,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_8,,235413
-77.0208356718819,38.8995555884436,9,Sgt Kenny Temsupasiri, ,20001,(202) 724-8009,(202) 727-9422,Asian Liaison Unit,616 H STREET NW,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_10,,295093
-76.9596878493997,38.8697760666731,10,"Carla Okonkwo, Supervisor", ,20020,(202) 645-9629, ,Family Liaison Specialist Unit,3244 PENNSYLVANIA AVENUE SE,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_12,,302990
-77.0129112688988,38.8767906676865,11,Cmdr  Thomas McGuire, ,20024,(202) 698-0555,(202) 727-8503,District 1 (1D),101 M STREET SW,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_13,Station,152387
-77.0274132795308,38.9631332486268,12,Cmdr  Hilton Burton, ,20011,(202) 715-7400,(202) 722-1791,District 4 (4D),6001 GEORGIA AVENUE NW,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_14,Station,243485
-77.0165405371914,38.8941459413706,13,Sgt  Brett A  Parso/Ofc Joe Morquecho,Room 5125,20001,(202) 727-5427,(202) 727-4406,Gay and Lesbian Liaison Unit,300 INDIANA AVENUE NW,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_15,,279642
-77.0748403666259,38.93485362329,14,Cmdr  Robert J  Con, ,20016,(202) 715-7300,(202) 364-3961,District 2 (2D),3320 IDAHO AVENUE NW,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_18,Station,222229
-76.9695236682727,38.8533635431363,15,Cmdr  Joel Maupin, ,20020,(202) 698-1500,(202) 889-3574,District 7 (7D),2455 ALABAMA AVENUE SE,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_19,Station,278162
